# chunk name	size	kind	first4bytes
@ui/utils/OptionsUtils.lua                                  	61864	luac	1B 4C 4A 02
@ui/utils/GesturesUtils.lua                                 	3421	luac	1B 4C 4A 02
@ui/utils/SpraysUtils.lua                                   	1981	luac	1B 4C 4A 02
@ui/utils/TabUtils.lua                                      	3808	luac	1B 4C 4A 02
@ui/utils/WatchUtils.lua                                    	8553	luac	1B 4C 4A 02
@ui/FriendsWidget.lua                                       	1252	luac	1B 4C 4A 02
@ui/utils/FriendsListUtils.lua                              	47507	luac	1B 4C 4A 02
@ui/uiEditor/actions.lua                                    	5646	luac	1B 4C 4A 02
@ui/uiEditor/conditions.lua                                 	48034	luac	1B 4C 4A 02
@ui/codcaster/CoDCasterActions.lua                          	44	luac	1B 4C 4A 02
@ui/codcaster/CoDCasterConditions.lua                       	321	luac	1B 4C 4A 02
@ui/BuildAndServerText.lua                                  	1702	luac	1B 4C 4A 02
@ui/utils/OptionsData.lua                                   	77915	luac	1B 4C 4A 02
@ui/widgets/PCOptionWindow.lua                              	2903	luac	1B 4C 4A 02
@ui/widgets/AudioOptionsButtons.lua                         	1284	luac	1B 4C 4A 02
@ui/utils/TrialsUtils.lua                                   	5235	luac	1B 4C 4A 02
@ui/utils/SoundUtils.lua                                    	595	luac	1B 4C 4A 02
@ui/utils/TimeUtils.lua                                     	2660	luac	1B 4C 4A 02
@ui/PCOptions.lua                                           	4657	luac	1B 4C 4A 02
@ui/OptionsVideoAdvanced.lua                                	13450	luac	1B 4C 4A 02
@ui/widgets/XB3Layout.lua                                   	17005	luac	1B 4C 4A 02
@ui/widgets/XB3StickLayout.lua                              	3348	luac	1B 4C 4A 02
@ui/widgets/PS4Layout.lua                                   	13191	luac	1B 4C 4A 02
@ui/widgets/PS4StickLayout.lua                              	3925	luac	1B 4C 4A 02
@ui/widgets/TelemetryLayer.lua                              	797	luac	1B 4C 4A 02
@ui/AchievementsManager.lua                                 	1650	luac	1B 4C 4A 02
@ui/widgets/ShaderPreloadLayer.lua                          	4745	luac	1B 4C 4A 02
@ui/Main.lua                                                	5699	luac	1B 4C 4A 02
@ui/widgets/ButtonHelperBar.lua                             	993	luac	1B 4C 4A 02
@ui/widgets/GenericBackgroundGlow.lua                       	1978	luac	1B 4C 4A 02
@ui/widgets/GenericBorderFrame.lua                          	2777	luac	1B 4C 4A 02
@ui/widgets/GenericBoxFillAndStroke.lua                     	817	luac	1B 4C 4A 02
@ui/widgets/GenericBoxWithBorders.lua                       	871	luac	1B 4C 4A 02
@ui/widgets/GenericCheckBox.lua                             	6053	luac	1B 4C 4A 02
@ui/widgets/GenericFrameCornerNodes.lua                     	965	luac	1B 4C 4A 02
@ui/widgets/GenericFrameCrosses.lua                         	9783	luac	1B 4C 4A 02
@ui/widgets/GenericPopup.lua                                	1063	luac	1B 4C 4A 02
@ui/widgets/GenericProgressBar.lua                          	2544	luac	1B 4C 4A 02
@ui/widgets/SmallPlayerCard.lua                             	6882	luac	1B 4C 4A 02
@ui/widgets/MenuTitle.lua                                   	4872	luac	1B 4C 4A 02
@ui/widgets/SubMenuTab.lua                                  	19168	luac	1B 4C 4A 02
@ui/widgets/TabsSpacer.lua                                  	688	luac	1B 4C 4A 02
@ui/widgets/CaCButtonRectrictionOverlay.lua                 	2073	luac	1B 4C 4A 02
@ui/widgets/WeaponStatsPanel.lua                            	4676	luac	1B 4C 4A 02
@ui/widgets/ArrowDown.lua                                   	2931	luac	1B 4C 4A 02
@ui/widgets/ArrowLeft.lua                                   	6238	luac	1B 4C 4A 02
@ui/widgets/ArrowRight.lua                                  	6244	luac	1B 4C 4A 02
@ui/widgets/ArrowUp.lua                                     	2895	luac	1B 4C 4A 02
@ui/widgets/Pip.lua                                         	2542	luac	1B 4C 4A 02
@ui/widgets/VerticalMinimalScrollbar.lua                    	2059	luac	1B 4C 4A 02
@ui/widgets/VerticalMinimalScrollbarSlider.lua              	5758	luac	1B 4C 4A 02
@ui/widgets/VerticalMinimalScrollbarSliderArea.lua          	4293	luac	1B 4C 4A 02
